"date","value"
"2000-02-18",13.7679207638592
"2000-03-05",17.5590648325211
"2000-03-21",29.1955278479056
"2000-04-06",38.6502041022023
"2000-04-22",41.0165801542106
"2000-05-08",38.16474323439
"2000-05-24",15.7313914226679
"2000-06-09",16.8107645013355
"2000-06-25",18.2732449730384
"2000-07-11",47.9944564833947
"2000-07-27",57.1750239379126
"2000-08-12",53.6198659476894
"2000-08-28",46.2531875220481
"2000-09-13",38.1519931461977
"2000-09-29",24.7819503331314
"2000-10-15",12.3123540649544
"2000-10-31",12.5748369812465
"2000-11-16",10.2539434561306
"2000-12-02",10.9381999798204
"2000-12-18",11.0328991944591
"2001-01-01",8.75403115605357
"2001-01-17",6.43564356435644
"2001-02-02",11.1970298902762
"2001-02-18",12.614062020264
"2001-03-06",16.8986970854482
"2001-03-22",29.1078070661761
"2001-04-07",38.7269566093837
"2001-04-23",39.7097346981408
"2001-05-09",32.039157385476
"2001-05-25",23.9313107896991
"2001-06-10",20.7037242352467
"2001-06-26",36.2399838734062
"2001-07-12",42.8647381948294
"2001-07-28",60.5626551538046
"2001-08-13",54.0120949453208
"2001-08-29",49.2822657864234
"2001-09-14",37.4568269036558
"2001-09-30",19.5068790001512
"2001-10-16",14.8670249196565
"2001-11-01",15.7073023232374
"2001-11-17",18.5186213771986
"2001-12-03",18.1913433759802
"2001-12-19",16.0967312906031
"2002-01-01",14.9422569027611
"2002-01-17",14.4535100539233
"2002-02-02",15.1277434714679
"2002-02-18",20.3382698636577
"2002-03-06",29.0879403316031
"2002-03-22",40.6982667138309
"2002-04-07",44.7905054679232
"2002-04-23",40.7388801141285
"2002-05-09",28.3292848863579
"2002-05-25",21.6882527843572
"2002-06-10",16.3986796351358
"2002-06-26",32.8506686853394
"2002-07-04",35.8989064153606
"2002-07-12",35.5701758806632
"2002-07-20",70.5547945205479
"2002-07-28",57.1220906282183
"2002-08-05",57.6146093687011
"2002-08-13",52.5284483193066
"2002-08-21",49.5555611550673
"2002-08-29",51.4920626921332
"2002-09-06",45.8493171395454
"2002-09-14",37.0744343093282
"2002-09-22",28.5490601219574
"2002-09-30",24.0369230769231
"2002-10-08",14.7324959292859
"2002-10-16",15.6315789473684
"2002-10-24",12.1495074158276
"2002-11-01",12.7037709333646
"2002-11-09",11.4584555229717
"2002-11-17",12.3132611637348
"2002-11-25",11.8801747056589
"2002-12-03",NaN
"2002-12-11",9.40519420822799
"2002-12-19",NaN
"2002-12-27",8.866098876178
"2003-01-01",8.36009334889148
"2003-01-09",8.866098876178
"2003-01-17",9.91127819548872
"2003-01-25",9.4430475997364
"2003-02-02",9.92898538894784
"2003-02-10",9.01407854345295
"2003-02-18",11.72
"2003-02-26",10.4498
"2003-03-06",11.4318681318681
"2003-03-14",17.5763106796117
"2003-03-22",27.1130516744289
"2003-03-30",22.7937359688989
"2003-04-07",32.4898452854911
"2003-04-15",36.8908660769389
"2003-04-23",36.8458401305057
"2003-05-01",40.0212669455223
"2003-05-09",37.7493396582394
"2003-05-17",29.6424431789548
"2003-05-25",18.1959381141964
"2003-06-02",18.2175578289573
"2003-06-10",21.2067227737741
"2003-06-18",22.3376505568714
"2003-06-26",28.6972065348931
"2003-07-04",35.0861697765019
"2003-07-12",49.0892357756648
"2003-07-20",66.0687562079241
"2003-07-28",61.7451494229703
"2003-08-05",61.0900569470342
"2003-08-13",58.6443209624796
"2003-08-21",55.7928459119497
"2003-08-29",56.3635035024946
"2003-09-06",52.9943052965781
"2003-09-14",45.9256975333603
"2003-09-22",41.9080093155124
"2003-09-30",20.414132656221
"2003-10-08",19.2492561737578
"2003-10-16",18.656546651843
"2003-10-24",13.7437268613739
"2003-11-01",15.036712184874
"2003-11-09",12.2856447688564
"2003-11-17",14.3005893909627
"2003-11-25",12.9988090760938
"2003-12-03",12.7875262562611
"2003-12-11",12.486723421506
"2003-12-19",11.8128811167666
"2003-12-27",11.9750541752759
"2004-01-01",11.2974852592854
"2004-01-09",11.412156032658
"2004-01-17",10.8139898200877
"2004-01-25",10.6882245271507
"2004-02-02",10.4731907097052
"2004-02-10",12.1746000264445
"2004-02-18",13.972771901412
"2004-02-26",15.7443647108485
"2004-03-05",22.6216539321171
"2004-03-13",28.0827148350174
"2004-03-21",32.4738044633369
"2004-03-29",31.2228334931611
"2004-04-06",32.7614775991534
"2004-04-14",37.7664043336059
"2004-04-22",38.6623977781207
"2004-04-30",33.0595172100993
"2004-05-08",34.3801340523106
"2004-05-16",26.0909136723278
"2004-05-24",23.3972181625762
"2004-06-01",20.9934485712846
"2004-06-09",19.2020359824623
"2004-06-17",29.2015840185643
"2004-06-25",30.8836869424986
"2004-07-03",36.6874175545408
"2004-07-11",63.3366518609282
"2004-07-19",63.9431537569924
"2004-07-27",68.8702742383724
"2004-08-04",63.9111659841002
"2004-08-12",61.6249041949824
"2004-08-20",53.6565539484957
"2004-08-28",49.2973340724689
"2004-09-05",50.1754774983621
"2004-09-13",43.9989416922844
"2004-09-21",30.7846091820793
"2004-09-29",25.0062095994299
"2004-10-07",16.2514834847451
"2004-10-15",15.7367906066536
"2004-10-23",17.2549008930516
"2004-10-31",15.1072922441163
"2004-11-08",20.8555661946278
"2004-11-16",23.838892868106
"2004-11-24",23.4452628392695
"2004-12-02",21.2255203346268
"2004-12-10",20.5395445453147
"2004-12-18",NaN
"2004-12-26",13.7370326533454
"2005-01-01",16.4215933826731
"2005-01-09",14.0530348860657
"2005-01-17",14.0445319765852
"2005-01-25",13.8806688178351
"2005-02-02",14.3777490297542
"2005-02-10",NaN
